grain,step,metric,shot,baseline,mean_delta,relative_delta_mean,median_delta,min_delta,max_delta
seed_attack_shot,20,pr_auc,1,SGD,0.000837128939888195,0.0011599839177821726,0.000560460877701674,-0.021060501955045163,0.03491991298175523
seed_attack_shot,20,pr_auc,3,SGD,-0.0030106184037840306,-0.0031292652817165104,-0.0015944988125908277,-0.023873643951507595,0.017795291443163275
seed_attack_shot,20,pr_auc,5,SGD,-0.0034006113667607494,-0.0035109559440816237,-0.0021908607474397934,-0.032162451695191496,0.018696415186120863
seed_attack_shot,20,pr_auc,10,SGD,-0.003386044089925629,-0.0034761905578683814,-0.0026042641891130813,-0.022459476458354333,0.005963183161867391
seed_attack_shot,20,pr_auc,1,Adam,0.02985804678895235,0.03601552834032409,0.02399835905623443,-0.03162829428913039,0.09740326571003799
seed_attack_shot,20,pr_auc,3,Adam,0.015248253834229104,0.016624401379433894,0.00877601352895474,-0.013080398849516395,0.08008084951254457
seed_attack_shot,20,pr_auc,5,Adam,0.011626050473434409,0.012402389845743897,0.007060033568083102,-0.011082140348471547,0.06598414368569139
seed_attack_shot,20,pr_auc,10,Adam,0.010048174759536994,0.010578971979585796,0.005417893903052529,-0.009397264878224787,0.05989235764235756
seed_attack_shot,20,attack_recall,1,SGD,0.0012333333333333122,0.002149601705236852,0.0005000000000000004,-0.07500000000000007,0.05999999999999994
seed_attack_shot,20,attack_recall,3,SGD,-0.008766666666666667,-0.009505472001127517,-0.002999999999999836,-0.08900000000000019,0.04100000000000015
seed_attack_shot,20,attack_recall,5,SGD,-0.01109999999999997,-0.012029972367941526,-0.0019999999999998908,-0.10699999999999998,0.051000000000000156
seed_attack_shot,20,attack_recall,10,SGD,-0.014666666666666654,-0.015862066487196444,-0.003999999999999948,-0.1250000000000001,0.027999999999999803
seed_attack_shot,20,attack_recall,1,Adam,0.007199999999999992,0.011209211667657159,5.551115123125783e-17,-0.135,0.08799999999999997
seed_attack_shot,20,attack_recall,3,Adam,0.001500000000000005,0.002929404087459305,-0.0015000000000000013,-0.07599999999999996,0.10399999999999998
seed_attack_shot,20,attack_recall,5,Adam,-0.002899999999999977,-0.0016382714992850202,-0.0029999999999998916,-0.10800000000000021,0.14400000000000013
seed_attack_shot,20,attack_recall,10,Adam,-0.0026000000000000467,-0.0018449882211527473,-0.001000000000000223,-0.1190000000000001,0.09000000000000019
seed_attack_shot,curve,curve_auc,1,SGD,-0.04872508852460209,-0.06530886854038466,-0.05068125979753113,-0.11078003815002935,0.02552937877250072
seed_attack_shot,curve,curve_auc,3,SGD,-0.061852823299963985,-0.07361799522664153,-0.07272831902278709,-0.1356381716513847,0.038856695420567244
seed_attack_shot,curve,curve_auc,5,SGD,-0.06381453018492327,-0.07462112255071826,-0.07415040873858902,-0.1339339915495854,0.028417058303110143
seed_attack_shot,curve,curve_auc,10,SGD,-0.06291945461998422,-0.07282708283199162,-0.07488610129931217,-0.136433641338239,0.02808208572077142
seed_attack_shot,curve,curve_auc,1,Adam,0.06446580561227559,0.11825857465817756,0.06124170720967578,-0.03306441649409464,0.2033163989693902
seed_attack_shot,curve,curve_auc,3,Adam,0.07851479440092497,0.1269843372629392,0.06686316471182363,-0.012697106091870247,0.23395138692188772
seed_attack_shot,curve,curve_auc,5,Adam,0.0767508690836665,0.12027146354341656,0.07415165030099763,-0.024847517925475016,0.2429130879154035
seed_attack_shot,curve,curve_auc,10,Adam,0.07483889287360582,0.11367319013974246,0.0646277550344092,-0.013659256790416796,0.23624730811784544
paired_task,1,macro_f1,all,SGD,-0.17227238010957127,,-0.11526315789473685,-1.0,0.4000000000000001
paired_task,1,macro_f1,all,Adam,-0.014532210250268986,,0.0,-0.3044871794871796,0.2872474747474748
paired_task,20,macro_f1,all,SGD,-0.0001821713970012606,,0.0,-0.5886450714036922,0.6281565656565657
paired_task,20,macro_f1,all,Adam,0.03649299042484733,,0.0,-0.47619047619047616,0.6666666666666667
