unknown,seed,shot,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
bruteforce,82,5,SGD,0.8634999999999999,0.8899616004910124,0.8634999999999999,0.8588242882611573,0.9627,0.9598562828812055,0.965,0.23800000000000002
bruteforce,82,10,Adam,0.867,0.8978689635527871,0.867,0.8621683808680713,0.9656999999999999,0.9551131562881562,0.986,0.252
bruteforce,82,10,MetaOpt,0.912,0.9281989676989677,0.912,0.9102127203422802,0.9690000000000001,0.9582706765456765,0.98,0.156
bruteforce,82,10,SGD,0.8965000000000001,0.916071941946942,0.8965000000000001,0.8940801467082595,0.9727,0.9681719209711857,0.98,0.187
ddos,42,1,Adam,0.826,0.8511942564659283,0.826,0.8195175715256741,0.9012,0.9235798387972536,0.7709999999999999,0.11900000000000001
ddos,42,1,MetaOpt,0.841,0.8628701298701299,0.841,0.8364574724213135,0.9134,0.9323307643422969,0.77,0.08800000000000001
ddos,42,1,SGD,0.828,0.8500897479283702,0.828,0.8217862797358674,0.9151,0.9323889842269872,0.764,0.10800000000000001
ddos,42,3,Adam,0.9175,0.9304627382421501,0.9175,0.9155693301933207,0.977,0.980409417869712,0.885,0.05
ddos,42,3,MetaOpt,0.9159999999999999,0.9289158341658341,0.9159999999999999,0.9143925637934253,0.9717,0.9757638051490993,0.8740000000000001,0.042
ddos,42,3,SGD,0.9265000000000001,0.9375275974025975,0.9265000000000001,0.925242494556938,0.9843999999999999,0.9865326811260634,0.8909999999999999,0.038000000000000006
ddos,42,5,Adam,0.937,0.9453294622044622,0.937,0.9362132467056583,0.9849,0.988032166801207,0.9279999999999999,0.054000000000000006
ddos,42,5,MetaOpt,0.935,0.9425182733932735,0.935,0.9343779716379998,0.9836,0.987220115995116,0.917,0.047
ddos,42,5,SGD,0.9445,0.9505464257964259,0.9445,0.944072789895377,0.9915,0.9928732989232989,0.943,0.054000000000000006
ddos,42,10,Adam,0.9405,0.9494118936618938,0.9405,0.9396816810490926,0.9892,0.9902395770895771,0.9259999999999999,0.045
ddos,42,10,MetaOpt,0.9295,0.938988913863914,0.9295,0.9285933541712921,0.9863,0.9875355117105117,0.9009999999999999,0.042
ddos,42,10,SGD,0.9484999999999999,0.9558784826284827,0.9484999999999999,0.9478016282860138,0.9953,0.9956366938616938,0.94,0.043
ddos,52,1,Adam,0.7795000000000001,0.8064619430277326,0.7795000000000001,0.7705576558712403,0.833,0.8836885979216861,0.728,0.16899999999999998
ddos,52,1,MetaOpt,0.83,0.8564476075395193,0.83,0.824462109297676,0.8819,0.9152710772156979,0.736,0.076
