unknown,seed,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
dos,72,MetaOpt,0.91075,0.9182602031342841,0.91075,0.9071461847293951,0.9634499999999999,0.9716153457009107,0.877,0.0555
dos,72,SGD,0.901875,0.913734625346274,0.901875,0.8966238399287492,0.960075,0.9680787166232889,0.8595,0.05575000000000001
dos,82,Adam,0.893375,0.901083074884352,0.893375,0.8913561083425546,0.948525,0.9631461151196155,0.8855,0.09875
dos,82,MetaOpt,0.911625,0.9195251102043382,0.911625,0.90994278283446,0.96575,0.974196620905754,0.9019999999999999,0.07875
dos,82,SGD,0.918125,0.9257168317793318,0.918125,0.9170742451650666,0.9633,0.9733078162968353,0.888,0.05175
portscan,42,Adam,0.862,0.8836570659302858,0.862,0.8531257551466314,0.9449,0.9487046697164634,0.9297500000000001,0.20575000000000002
portscan,42,MetaOpt,0.863,0.8804365080600085,0.863,0.8557287081053357,0.9465749999999999,0.9522717730283132,0.90075,0.17475
portscan,42,SGD,0.8745,0.8900791752751893,0.8745,0.8678173037607865,0.95135,0.9558249957988347,0.891,0.14200000000000002
portscan,52,Adam,0.8863749999999999,0.8994014383771544,0.8863749999999999,0.8797759080275621,0.97515,0.9786169753470644,0.929,0.15625
portscan,52,MetaOpt,0.925125,0.9363706174823628,0.925125,0.9213660859522432,0.988675,0.9897189144672407,0.9329999999999999,0.08275
portscan,52,SGD,0.925,0.9368927086845044,0.925,0.9199852896184223,0.987,0.9884890457452764,0.954,0.10400000000000001
portscan,62,Adam,0.7833749999999999,0.8056714597000008,0.7833749999999999,0.7685538848066191,0.871975,0.8824713354133826,0.7885,0.22175
portscan,62,MetaOpt,0.852375,0.8685024720184357,0.852375,0.8424220694044408,0.932075,0.9341201722189918,0.89325,0.1885
portscan,62,SGD,0.8346250000000001,0.8541155738879713,0.8346250000000001,0.8227872060036148,0.91205,0.9166169612014232,0.8745,0.20525
portscan,72,Adam,0.80725,0.8322822035689199,0.80725,0.7947414664276893,0.909775,0.9236169866317893,0.8265,0.21200000000000002
portscan,72,MetaOpt,0.825875,0.8510688893579761,0.825875,0.8138877392160992,0.9213749999999999,0.9310987048651812,0.839,0.18725
portscan,72,SGD,0.826875,0.8517222310659327,0.826875,0.8151942814162516,0.929075,0.9367214778008799,0.84475,0.191
portscan,82,Adam,0.7745,0.8112725401963018,0.7745,0.7585737312948696,0.880125,0.8808316592839135,0.876,0.32699999999999996
portscan,82,MetaOpt,0.8460000000000001,0.8691209230118867,0.8460000000000001,0.8369342973005003,0.943275,0.9462618685537029,0.887,0.195
portscan,82,SGD,0.8565,0.8787701043420375,0.8565,0.8478853615779189,0.948825,0.9518589080875264,0.90075,0.18775000000000003
webattack,42,Adam,0.890625,0.9127950020825408,0.890625,0.8817384205882072,0.9903,0.9904654191547186,0.98975,0.20850000000000002
webattack,42,MetaOpt,0.934375,0.9461897796690755,0.934375,0.9302336916952307,0.9921749999999999,0.9927221983382974,0.98725,0.11850000000000001
webattack,42,SGD,0.9444999999999999,0.9527614003106457,0.9444999999999999,0.9406149255732906,0.9945,0.9953097944818339,0.98525,0.09625
webattack,52,Adam,0.943875,0.9536543662735613,0.943875,0.9413247268503345,0.9904499999999999,0.99291753239558,0.98,0.09225000000000001
webattack,52,MetaOpt,0.9706250000000001,0.974114898861029,0.9706250000000001,0.9690810834314667,0.9961500000000001,0.9964068355255855,0.9804999999999999,0.03925
webattack,52,SGD,0.967375,0.9724217014710436,0.967375,0.9655245674160362,0.9951,0.9955807282994783,0.98075,0.046
webattack,62,Adam,0.864125,0.8921925787598195,0.864125,0.8524341746390366,0.95825,0.9486139472477126,0.9882500000000001,0.26
webattack,62,MetaOpt,0.907,0.919250209897172,0.907,0.9009639058090455,0.984575,0.9810450585920787,0.987,0.17300000000000001
webattack,62,SGD,0.897375,0.9118240790803195,0.897375,0.8891628107961611,0.981275,0.977809393453124,0.98775,0.193
webattack,72,Adam,0.918625,0.9332856096217165,0.918625,0.9150351617331007,0.98545,0.9906065409092112,0.98275,0.1455
webattack,72,MetaOpt,0.931375,0.9405532595199778,0.931375,0.9277026523126735,0.9832750000000001,0.9892119006026223,0.9585,0.09575
webattack,72,SGD,0.95575,0.9623922208682271,0.95575,0.9532605254627673,0.987075,0.9921326752302565,0.98175,0.07025
webattack,82,Adam,0.7955,0.8462256841563149,0.7955,0.7756027589476411,0.953125,0.9482068408973208,0.982,0.391
webattack,82,MetaOpt,0.930625,0.9427811359231155,0.930625,0.9260155958075369,0.9869249999999999,0.9910526485726177,0.9805,0.11925000000000001
webattack,82,SGD,0.933,0.9452836705992667,0.933,0.9279919138833449,0.986925,0.9914730805819137,0.9825,0.11649999999999999
